District,Primary Type,0
1.0,ARSON,0.010395010395
1.0,ASSAULT,4.25155925156
1.0,BATTERY,10.7796257796
1.0,BURGLARY,1.54885654886
1.0,CONCEALED CARRY LICENSE VIOLATION,0.010395010395
1.0,CRIM SEXUAL ASSAULT,0.301455301455
1.0,CRIMINAL DAMAGE,4.75051975052
1.0,CRIMINAL TRESPASS,6.2577962578
1.0,DECEPTIVE PRACTICE,12.7962577963
1.0,GAMBLING,0.010395010395
1.0,INTERFERENCE WITH PUBLIC OFFICER,0.197505197505
1.0,INTIMIDATION,0.04158004158
1.0,KIDNAPPING,0.010395010395
1.0,LIQUOR LAW VIOLATION,0.114345114345
1.0,MOTOR VEHICLE THEFT,1.85031185031
1.0,NARCOTICS,2.4948024948
1.0,NON-CRIMINAL,0.010395010395
1.0,OFFENSE INVOLVING CHILDREN,0.24948024948
1.0,OTHER NARCOTIC VIOLATION,0.010395010395
1.0,OTHER OFFENSE,3.38877338877
1.0,PROSTITUTION,0.22869022869
1.0,PUBLIC INDECENCY,0.02079002079
1.0,PUBLIC PEACE VIOLATION,0.914760914761
1.0,ROBBERY,2.46361746362
1.0,SEX OFFENSE,0.343035343035
1.0,STALKING,0.12474012474
1.0,THEFT,46.5904365904
1.0,WEAPONS VIOLATION,0.22869022869
2.0,ARSON,0.0410424789657
2.0,ASSAULT,7.35686435461
2.0,BATTERY,19.2694438744
2.0,BURGLARY,5.40734660373
2.0,CRIM SEXUAL ASSAULT,0.441206648882
2.0,CRIMINAL DAMAGE,9.49107326082
2.0,CRIMINAL TRESPASS,3.52965319105
2.0,DECEPTIVE PRACTICE,5.49969218141
2.0,GAMBLING,0.0615637184486
2.0,HOMICIDE,0.153909296121
2.0,INTERFERENCE WITH PUBLIC OFFICER,0.256515493536
2.0,INTIMIDATION,0.0307818592243
2.0,KIDNAPPING,0.0513030987072
2.0,LIQUOR LAW VIOLATION,0.0102606197414
2.0,MOTOR VEHICLE THEFT,4.09398727683
2.0,NARCOTICS,8.08536835625
2.0,OBSCENITY,0.0205212394829
2.0,OFFENSE INVOLVING CHILDREN,0.882413297763
2.0,OTHER OFFENSE,6.19741432383
2.0,PROSTITUTION,0.123127436897
2.0,PUBLIC PEACE VIOLATION,0.872152678022
2.0,ROBBERY,5.06874615227
2.0,SEX OFFENSE,0.256515493536
2.0,STALKING,0.0307818592243
2.0,THEFT,21.6704288939
2.0,WEAPONS VIOLATION,1.09788631233
3.0,ARSON,0.149595212953
3.0,ASSAULT,7.7173530447
3.0,BATTERY,21.7529039071
3.0,BURGLARY,6.30939809926
3.0,CONCEALED CARRY LICENSE VIOLATION,0.017599436818
3.0,CRIM SEXUAL ASSAULT,0.439985920451
3.0,CRIMINAL DAMAGE,10.1020767335
3.0,CRIMINAL TRESPASS,3.25589581133
3.0,DECEPTIVE PRACTICE,3.7134811686
3.0,GAMBLING,0.237592397043
3.0,HOMICIDE,0.114396339317
3.0,INTERFERENCE WITH PUBLIC OFFICER,0.730376627948
3.0,INTIMIDATION,0.0439985920451
3.0,KIDNAPPING,0.0967969024991
3.0,LIQUOR LAW VIOLATION,0.0527983104541
3.0,MOTOR VEHICLE THEFT,2.78071101725
3.0,NARCOTICS,8.58852516719
3.0,OFFENSE INVOLVING CHILDREN,0.941569869764
3.0,OTHER OFFENSE,9.2749032031
